Body
Date,Weight,BMI,Fat
"2016-05-01","63.5","21.22","0"
"2016-05-02","63.5","21.22","0"
"2016-05-03","63.5","21.22","0"
"2016-05-04","63.5","21.22","0"
"2016-05-05","63.5","21.22","0"
"2016-05-06","63.5","21.22","0"
"2016-05-07","63.5","21.22","0"
"2016-05-08","63.5","21.22","0"
"2016-05-09","63.5","21.22","0"
"2016-05-10","63.5","21.22","0"
"2016-05-11","63.5","21.22","0"
"2016-05-12","63.5","21.22","0"
"2016-05-13","63.5","21.22","0"
"2016-05-14","63.5","21.22","0"
"2016-05-15","63.5","21.22","0"
"2016-05-16","63.5","21.22","0"
"2016-05-17","63.5","21.22","0"
"2016-05-18","63.5","21.22","0"
"2016-05-19","63.5","21.22","0"
"2016-05-20","63.5","21.22","0"
"2016-05-21","63.5","21.22","0"
"2016-05-22","63.5","21.22","0"
"2016-05-23","63.5","21.22","0"
"2016-05-24","63.5","21.22","0"
"2016-05-25","63.5","21.22","0"
"2016-05-26","63.5","21.22","0"
"2016-05-27","63.5","21.22","0"
"2016-05-28","63.5","21.22","0"
"2016-05-29","63.5","21.22","0"
"2016-05-30","63.5","21.22","0"
"2016-05-31","63.5","21.22","0"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-05-01","1,573","0","0","0","1,440","0","0","0","0"
"2016-05-02","2,098","5,948","4.27","24","1,333","41","30","36","621"
"2016-05-03","2,591","11,347","8.25","33","1,251","73","25","91","1,188"
"2016-05-04","2,215","6,670","4.79","30","1,262","63","3","51","756"
"2016-05-05","2,413","10,270","7.37","44","849","145","24","49","1,030"
"2016-05-06","3,717","25,794","18.68","39","719","245","96","155","2,648"
"2016-05-07","3,654","25,669","19.49","31","493","402","25","100","2,592"
"2016-05-08","2,429","9,795","7.13","38","845","206","14","21","1,090"
"2016-05-09","2,854","14,108","10.25","37","1,032","186","48","78","1,538"
"2016-05-10","2,957","15,999","11.76","33","759","212","32","80","1,641"
"2016-05-11","2,522","8,334","6.01","16","787","182","31","43","1,146"
"2016-05-12","3,011","13,765","10.09","34","779","153","36","112","1,684"
"2016-05-13","3,561","24,267","17.55","48","525","247","83","126","2,396"
"2016-05-14","3,243","21,380","15.37","64","534","318","50","86","2,106"
"2016-05-15","2,972","15,966","11.51","44","524","367","32","27","1,819"
"2016-05-16","3,106","15,791","11.72","33","581","246","51","79","1,868"
"2016-05-17","3,024","13,124","9.72","51","753","200","49","84","1,724"
"2016-05-18","2,692","13,060","9.65","50","696","227","23","59","1,385"
"2016-05-19","2,748","11,980","8.65","38","775","279","22","25","1,443"
"2016-05-20","2,625","10,096","7.33","18","684","202","64","20","1,302"
"2016-05-21","3,204","20,203","14.79","68","609","314","31","98","2,070"
"2016-05-22","2,256","7,981","5.75","35","1,114","183","26","17","901"
"2016-05-23","3,309","15,889","11.45","40","600","235","78","96","2,086"
"2016-05-24","2,923","17,129","12.46","38","666","190","43","88","1,618"
"2016-05-25","2,978","14,515","10.47","45","703","202","41","89","1,674"
"2016-05-26","3,109","17,878","12.95","52","637","273","70","61","1,884"
"2016-05-27","3,069","17,007","12.3","48","644","238","65","67","1,833"
"2016-05-28","2,545","11,721","8.57","11","710","267","12","29","1,259"
"2016-05-29","2,738","15,282","11.08","44","700","221","40","64","1,482"
"2016-05-30","2,909","15,871","11.6","52","673","233","55","56","1,638"
"2016-05-31","2,747","14,062","10.21","42","713","207","35","59","1,410"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2016-05-01","0","0","0","0"
"2016-05-02","0","0","0","0"
"2016-05-03","0","0","0","0"
"2016-05-04","0","0","0","0"
"2016-05-05","413","20","12","433"
"2016-05-06","185","7","4","192"
"2016-05-07","428","24","10","452"
"2016-05-08","328","25","16","354"
"2016-05-09","0","0","0","0"
"2016-05-10","375","20","10","395"
"2016-05-11","378","20","10","398"
"2016-05-12","389","10","3","399"
"2016-05-13","328","21","10","349"
"2016-05-14","425","19","10","444"
"2016-05-15","457","33","14","490"
"2016-05-16","376","12","8","389"
"2016-05-17","364","45","18","409"
"2016-05-18","341","18","8","359"
"2016-05-19","473","32","17","505"
"2016-05-20","372","8","9","381"
"2016-05-21","448","29","16","477"
"2016-05-22","0","0","0","0"
"2016-05-23","372","28","10","400"
"2016-05-24","449","10","8","459"
"2016-05-25","393","14","9","407"
"2016-05-26","394","24","17","419"
"2016-05-27","358","19","10","377"
"2016-05-28","467","26","14","493"
"2016-05-29","256","10","6","266"
"2016-05-30","448","17","12","465"
"2016-05-31","382","14","8","396"

